"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastActivityDate","Customer_Email__c"
"a008c00000Z0swrAAB","0058c00000AiQndAAF","0","Coby Crane","2022-03-07 03:41:45","0058c00000AiQndAAF","2022-03-07 03:41:45","0058c00000AiQndAAF","2022-03-07 03:41:45","","CCrane@gmail.com"
"a008c00000Z0swsAAB","0058c00000AiQndAAF","0","Nafisa Milne","2022-03-07 03:42:10","0058c00000AiQndAAF","2022-03-07 03:42:10","0058c00000AiQndAAF","2022-03-07 03:42:10","","NMilne@gmail.com"
"a008c00000Z0swtAAB","0058c00000AiQndAAF","0","Reid Odonnel","2022-03-07 03:45:10","0058c00000AiQndAAF","2022-03-07 03:45:10","0058c00000AiQndAAF","2022-03-07 03:45:10","","roddonel@gmail.com"
"a008c00000Z0swuAAB","0058c00000AiQndAAF","0","Maira Colon","2022-03-07 03:45:45","0058c00000AiQndAAF","2022-03-07 03:56:00","0058c00000AiQndAAF","2022-03-07 03:56:00","","mcolon@gmail.com"
"a008c00000Z0swvAAB","0058c00000AiQndAAF","0","Reuben Stone","2022-03-07 03:47:52","0058c00000AiQndAAF","2022-03-07 03:56:00","0058c00000AiQndAAF","2022-03-07 03:56:00","","rstone@gmail.com"
"a008c00000Z0swwAAB","0058c00000AiQndAAF","0","Rima Boyle","2022-03-07 03:42:00","0058c00000AiQndAAF","2022-03-07 03:42:00","0058c00000AiQndAAF","2022-03-07 03:42:00","","RBoyle@gmail.com"
"a008c00000Z0swxAAB","0058c00000AiQndAAF","0","Lucian Koch","2022-03-07 03:48:18","0058c00000AiQndAAF","2022-03-07 03:48:18","0058c00000AiQndAAF","2022-03-07 03:48:18","","notthatkoch@gmail.com"
"a008c00000Z0swyAAB","0058c00000AiQndAAF","0","Isabella Ringen","2022-03-07 03:49:23","0058c00000AiQndAAF","2022-03-07 03:49:23","0058c00000AiQndAAF","2022-03-07 03:49:23","","ringendoorbells@gmail.com"
"a008c00000Z0tQhAAJ","0058c00000AiQndAAF","0","Gracie-Mae Archer","2022-03-07 03:42:25","0058c00000AiQndAAF","2022-03-07 03:42:25","0058c00000AiQndAAF","2022-03-07 03:42:25","","ArcherGM@gmail.com"
"a008c00000Z0tQiAAJ","0058c00000AiQndAAF","0","Isaac Hodge","2022-03-07 03:43:13","0058c00000AiQndAAF","2022-03-07 03:43:13","0058c00000AiQndAAF","2022-03-07 03:43:13","","IsHodge@gmail.com"
"a008c00000Z0tQjAAJ","0058c00000AiQndAAF","0","Arnav Barrera","2022-03-07 03:43:29","0058c00000AiQndAAF","2022-03-07 03:43:29","0058c00000AiQndAAF","2022-03-07 03:43:29","","ArBarrera@gmail.com"
"a008c00000Z0tQkAAJ","0058c00000AiQndAAF","0","Valarial Phillips","2022-03-07 03:43:51","0058c00000AiQndAAF","2022-03-07 03:43:51","0058c00000AiQndAAF","2022-03-07 03:43:51","","VPhillips@gmail.com"
"a008c00000Z0tQlAAJ","0058c00000AiQndAAF","0","Karina Clegg","2022-03-07 03:45:18","0058c00000AiQndAAF","2022-03-07 03:45:18","0058c00000AiQndAAF","2022-03-07 03:45:18","","kclegg@gmail.com"
"a008c00000Z0tQmAAJ","0058c00000AiQndAAF","0","Marina Cole","2022-03-07 03:44:01","0058c00000AiQndAAF","2022-03-07 03:44:01","0058c00000AiQndAAF","2022-03-07 03:44:01","","MCole@gmail.com"
"a008c00000Z0tQnAAJ","0058c00000AiQndAAF","0","Marvin Dodd","2022-03-07 03:44:11","0058c00000AiQndAAF","2022-03-07 03:44:11","0058c00000AiQndAAF","2022-03-07 03:44:11","","mDodd@gmail.com"
"a008c00000Z0tQoAAJ","0058c00000AiQndAAF","0","Bree Dodd","2022-03-07 03:44:20","0058c00000AiQndAAF","2022-03-07 03:44:20","0058c00000AiQndAAF","2022-03-07 03:44:20","","bDodd@gmail.com"
"a008c00000Z0tQpAAJ","0058c00000AiQndAAF","0","Kianna Sinclair","2022-03-07 03:44:32","0058c00000AiQndAAF","2022-03-07 03:44:32","0058c00000AiQndAAF","2022-03-07 03:44:32","","kSinclair@gmail.com"
"a008c00000Z0tQqAAJ","0058c00000AiQndAAF","0","Malakai Meadows","2022-03-07 03:44:46","0058c00000AiQndAAF","2022-03-07 03:44:46","0058c00000AiQndAAF","2022-03-07 03:44:46","","mmeadows@gmail.com"
"a008c00000Z0tQwAAJ","0058c00000AiQndAAF","0","Danica Miles","2022-03-07 03:45:37","0058c00000AiQndAAF","2022-03-07 03:45:37","0058c00000AiQndAAF","2022-03-07 03:45:37","","dmiles@gmail.com"
"a008c00000Z0tQxAAJ","0058c00000AiQndAAF","0","Mary Rhoda Duck","2022-03-07 03:46:14","0058c00000AiQndAAF","2022-03-07 03:46:14","0058c00000AiQndAAF","2022-03-07 03:46:14","","maryrhodaduck@gmail.com"
"a008c00000Z0tQyAAJ","0058c00000AiQndAAF","0","Charlene Galinda","2022-03-07 03:47:21","0058c00000AiQndAAF","2022-03-07 03:47:21","0058c00000AiQndAAF","2022-03-07 03:47:21","","chGalinda@gmail.com"
"a008c00000Z0tQzAAJ","0058c00000AiQndAAF","0","Grace Patton","2022-03-07 03:48:42","0058c00000AiQndAAF","2022-03-07 03:48:42","0058c00000AiQndAAF","2022-03-07 03:48:42","","pattondisdick@gmail.com"
"a008c00000Z0tR1AAJ","0058c00000AiQndAAF","0","Ellie-May Wall","2022-03-07 03:46:02","0058c00000AiQndAAF","2022-03-07 03:46:02","0058c00000AiQndAAF","2022-03-07 03:46:02","","emwall@gmail.com"
"a008c00000Z0tR2AAJ","0058c00000AiQndAAF","0","Joaquin B. Ineyu","2022-03-07 03:46:31","0058c00000AiQndAAF","2022-03-07 03:46:31","0058c00000AiQndAAF","2022-03-07 03:46:31","","jbIne@gmail.com"
"a008c00000Z0tR3AAJ","0058c00000AiQndAAF","0","Conna Penn","2022-03-07 03:47:38","0058c00000AiQndAAF","2022-03-07 03:47:38","0058c00000AiQndAAF","2022-03-07 03:47:38","","cpenn@gmail.com"
"a008c00000Z0tR4AAJ","0058c00000AiQndAAF","0","Enya Mercado","2022-03-07 03:48:06","0058c00000AiQndAAF","2022-03-07 03:48:06","0058c00000AiQndAAF","2022-03-07 03:48:06","","emarcado@gmail.com"
